"Date","Price","Open","High","Low","Vol.","Change %"
"21-08-2023","89.75","90.50","90.50","88.30","36.76M","0.45%"
"18-08-2023","89.35","91.00","91.40","89.00","50.51M","-1.97%"
"17-08-2023","91.15","92.30","93.25","90.50","45.66M","-0.82%"
"16-08-2023","91.90","92.45","95.60","91.50","76.33M","-0.92%"
"14-08-2023","92.75","93.40","93.40","91.35","46.67M","-0.75%"
"11-08-2023","93.45","94.60","95.20","93.05","38.16M","-0.85%"
"10-08-2023","94.25","94.10","96.15","93.25","87.60M","0.16%"
"09-08-2023","94.10","93.90","94.85","91.60","109.24M","0.70%"
"08-08-2023","93.45","98.35","100.30","92.70","160.24M","-4.25%"
"07-08-2023","97.60","97.40","102.85","96.35","249.33M","2.31%"
"04-08-2023","95.40","89.00","98.40","88.40","405.75M","10.23%"
"03-08-2023","86.55","81.60","88.40","81.60","123.48M","1.76%"
"02-08-2023","85.05","84.45","85.95","82.65","54.85M","0.35%"
"01-08-2023","84.75","84.60","85.70","84.20","34.95M","0.77%"
"31-07-2023","84.10","87.00","87.15","83.70","49.09M","-3.11%"
"28-07-2023","86.80","85.60","87.25","83.85","74.80M","2.18%"
"27-07-2023","84.95","83.35","86.10","82.80","77.25M","1.92%"
"26-07-2023","83.35","83.10","84.60","82.50","59.29M","0.85%"
"25-07-2023","82.65","81.30","83.20","79.30","72.46M","1.66%"
"24-07-2023","81.30","80.80","82.45","80.55","64.29M","1.25%"
"21-07-2023","80.30","77.85","80.70","77.40","74.99M","3.48%"
"20-07-2023","77.60","78.05","79.10","77.30","40.50M","-0.06%"
"19-07-2023","77.65","79.00","80.35","77.25","42.13M","-1.33%"
"18-07-2023","78.70","80.65","80.65","76.50","71.22M","-1.81%"
"17-07-2023","80.15","83.20","83.40","79.50","43.38M","-2.91%"
"14-07-2023","82.55","84.00","85.25","81.65","91.57M","0.43%"
"13-07-2023","82.20","77.85","84.50","77.65","192.60M","6.06%"
"12-07-2023","77.50","77.50","78.80","77.15","64.21M","0.91%"
